1014.75,25.93,55.58,2019:10:18:23:11,1571407860
1014.65,25.92,55.51,2019:10:18:23:12,1571407920
1014.67,25.93,55.56,2019:10:18:23:13,1571407980
1014.64,25.93,55.39,2019:10:18:23:14,1571408040
1014.65,25.92,55.42,2019:10:18:23:15,1571408100
1014.62,25.93,55.51,2019:10:18:23:16,1571408160
1014.61,25.93,55.50,2019:10:18:23:17,1571408220
1014.61,25.92,55.40,2019:10:18:23:18,1571408280
1014.67,25.93,55.45,2019:10:18:23:19,1571408340
1014.60,25.94,55.29,2019:10:18:23:20,1571408400
1014.56,25.96,55.27,2019:10:18:23:21,1571408460
1014.52,25.94,55.25,2019:10:18:23:22,1571408520
1014.59,25.95,55.30,2019:10:18:23:23,1571408580
1014.56,25.93,55.25,2019:10:18:23:24,1571408640
1014.57,25.92,55.40,2019:10:18:23:25,1571408700
1014.53,25.89,55.41,2019:10:18:23:26,1571408760
1014.43,25.88,55.30,2019:10:18:23:27,1571408820
1014.51,25.90,55.37,2019:10:18:23:28,1571408880
1014.46,25.89,55.31,2019:10:18:23:29,1571408940
1014.48,25.88,55.47,2019:10:18:23:30,1571409000
1014.44,25.86,55.37,2019:10:18:23:31,1571409060
1014.50,25.86,55.40,2019:10:18:23:32,1571409120
1014.43,25.85,55.51,2019:10:18:23:33,1571409180
1014.48,25.85,55.40,2019:10:18:23:34,1571409240
1014.42,25.84,55.47,2019:10:18:23:35,1571409300
1014.43,25.85,55.42,2019:10:18:23:36,1571409360
1014.44,25.82,55.45,2019:10:18:23:37,1571409420
1014.40,25.83,55.39,2019:10:18:23:38,1571409480
1014.43,25.85,55.34,2019:10:18:23:39,1571409540
1014.37,25.85,55.44,2019:10:18:23:40,1571409600
1014.43,25.85,55.38,2019:10:18:23:41,1571409660
1014.34,25.83,55.42,2019:10:18:23:42,1571409720
1014.34,25.83,55.35,2019:10:18:23:43,1571409780
1014.25,25.83,55.35,2019:10:18:23:44,1571409840
1014.27,25.82,55.32,2019:10:18:23:45,1571409900
1014.29,25.83,55.26,2019:10:18:23:46,1571409960
1014.26,25.82,55.34,2019:10:18:23:47,1571410020
1014.27,25.80,55.36,2019:10:18:23:48,1571410080
1014.24,25.82,55.37,2019:10:18:23:49,1571410140
