1018.51,27.23,50.58,2019:10:19:22:19,1571491140
1018.60,27.15,50.80,2019:10:19:22:20,1571491200
1018.64,27.14,50.75,2019:10:19:22:21,1571491260
1018.61,27.27,50.43,2019:10:19:22:22,1571491320
1018.59,27.36,50.04,2019:10:19:22:23,1571491380
1018.63,27.44,49.74,2019:10:19:22:24,1571491440
1018.66,27.49,49.53,2019:10:19:22:25,1571491500
1018.60,27.54,49.36,2019:10:19:22:26,1571491560
1018.56,27.57,49.16,2019:10:19:22:27,1571491620
1018.59,27.60,48.93,2019:10:19:22:28,1571491680
1018.56,27.62,48.78,2019:10:19:22:29,1571491740
1018.62,27.64,48.70,2019:10:19:22:30,1571491800
1018.61,27.67,48.56,2019:10:19:22:31,1571491861
1018.63,27.68,48.46,2019:10:19:22:32,1571491920
1018.59,27.69,48.41,2019:10:19:22:33,1571491980
1018.55,27.70,48.39,2019:10:19:22:34,1571492040
1018.67,27.70,48.37,2019:10:19:22:35,1571492100
1018.61,27.70,48.35,2019:10:19:22:36,1571492160
1018.61,27.70,48.38,2019:10:19:22:37,1571492220
1018.65,27.71,48.33,2019:10:19:22:38,1571492280
1018.63,27.72,48.40,2019:10:19:22:39,1571492340
1018.65,27.72,48.40,2019:10:19:22:40,1571492400
1018.70,27.73,48.34,2019:10:19:22:41,1571492460
1018.62,27.71,48.26,2019:10:19:22:42,1571492520
1018.69,27.70,48.20,2019:10:19:22:43,1571492580
1018.64,27.69,48.19,2019:10:19:22:44,1571492640
1018.69,27.68,48.22,2019:10:19:22:45,1571492700
1018.67,27.67,48.21,2019:10:19:22:46,1571492760
1018.62,27.67,48.22,2019:10:19:22:47,1571492820
1018.66,27.68,48.22,2019:10:19:22:48,1571492880
1018.60,27.68,48.29,2019:10:19:22:49,1571492940
1018.58,27.68,48.33,2019:10:19:22:50,1571493000
1018.62,27.68,48.33,2019:10:19:22:51,1571493060
1018.61,27.68,48.26,2019:10:19:22:52,1571493120
1018.58,27.68,48.22,2019:10:19:22:53,1571493180
1018.59,27.69,48.19,2019:10:19:22:54,1571493240
1018.55,27.68,48.20,2019:10:19:22:55,1571493300
1018.55,27.68,48.14,2019:10:19:22:56,1571493360
1018.53,27.67,48.15,2019:10:19:22:57,1571493420
1018.58,27.68,48.12,2019:10:19:22:58,1571493480
1018.55,27.68,48.13,2019:10:19:22:59,1571493540
1018.52,27.68,48.06,2019:10:19:23:0,1571493600
1018.61,27.68,48.03,2019:10:19:23:1,1571493660
1018.59,27.69,47.98,2019:10:19:23:2,1571493720
1018.58,27.68,47.96,2019:10:19:23:3,1571493780
1018.63,27.68,47.92,2019:10:19:23:4,1571493840
1018.61,27.69,47.91,2019:10:19:23:5,1571493900
1018.66,27.70,47.87,2019:10:19:23:6,1571493960
1018.72,27.68,47.87,2019:10:19:23:7,1571494020
1018.69,27.68,48.02,2019:10:19:23:8,1571494080
1018.71,27.69,48.12,2019:10:19:23:9,1571494140
1018.66,27.70,48.16,2019:10:19:23:10,1571494200
1018.65,27.69,48.18,2019:10:19:23:11,1571494260
1018.69,27.68,48.12,2019:10:19:23:12,1571494320
1018.71,27.70,48.07,2019:10:19:23:13,1571494380
1018.67,27.71,48.02,2019:10:19:23:14,1571494440
1018.67,27.70,48.11,2019:10:19:23:15,1571494500
1018.71,27.72,48.20,2019:10:19:23:16,1571494560
1018.62,27.71,48.22,2019:10:19:23:17,1571494620
1018.74,27.72,48.31,2019:10:19:23:18,1571494680
1018.63,27.72,48.56,2019:10:19:23:19,1571494740
1018.66,27.74,48.75,2019:10:19:23:20,1571494800
1018.64,27.78,49.41,2019:10:19:23:21,1571494860
1018.73,27.87,49.74,2019:10:19:23:22,1571494920
1018.63,27.93,49.27,2019:10:19:23:23,1571494980
1018.69,28.00,49.24,2019:10:19:23:24,1571495040
1018.68,28.01,48.93,2019:10:19:23:25,1571495100
1018.71,28.01,48.70,2019:10:19:23:26,1571495160
1018.71,28.01,48.68,2019:10:19:23:27,1571495220
1018.74,28.06,49.42,2019:10:19:23:28,1571495280
1018.64,28.07,49.25,2019:10:19:23:29,1571495340
1018.70,28.07,49.44,2019:10:19:23:30,1571495400
1018.72,28.07,49.19,2019:10:19:23:31,1571495460
1018.72,28.12,49.23,2019:10:19:23:32,1571495520
1018.75,28.14,50.18,2019:10:19:23:33,1571495580
1018.72,28.17,49.90,2019:10:19:23:34,1571495640
1018.72,28.17,49.23,2019:10:19:23:35,1571495700
1018.78,28.16,48.89,2019:10:19:23:36,1571495760
1018.74,28.13,48.95,2019:10:19:23:37,1571495820
1018.73,28.09,49.04,2019:10:19:23:38,1571495880
1018.71,28.08,49.16,2019:10:19:23:39,1571495940
1018.66,28.08,49.11,2019:10:19:23:40,1571496000
1018.75,28.07,48.97,2019:10:19:23:41,1571496060
1018.79,28.06,49.01,2019:10:19:23:42,1571496120
